Event Title,Ticket Master Average Ticket Prices
ARIJIT SINGH Live! in Concert,284.0
Tommy Emmanuel,56.5
Evil Woman   The American ELO,42.5
Poundside Pop Presents WOCK AND ROLL (Purple Edition Concert),6.0
An Evening With Whitney: The Whitney Houston Hologram Concert (Las Vegas),72.0
The mewithoutYou Farewell Tour,47.5
Legends In Concert (Las Vegas),92.5
Fozzy,37.0
5ive Mics & Friends: Birthday Celebration Concert,112.5
Legends In Concert (Las Vegas),92.5
Dance Gavin Dance,34.0
Concert Crave Presents: Spanish Love Songs,17.0
Citizen Cope,32.0
"Passafire with special guests Dry Reef , and  Gary Dread and Rick Haze ",35.0
Two Feet,50.0
Legends In Concert (Las Vegas),92.5
Marcus King - Live in 2022,29.0
Sound Effects Benefit Concert (with Asheville Beatles Band),20.0
Moonshine Bandits,28.5
Legends In Concert (Las Vegas),53.0
Aaron Watson,50.0
Legends In Concert (Las Vegas),92.5
Kurt Vile & the Violators,27.0
Concert Crave Presents: Thousand Below,16.0
DJ Isaac,40.0
"Aaron Lewis & The Stateliners, War N Blues",49.0
Legends In Concert (Las Vegas),53.0
STL Vibe Session featuring Jibbs,15.0
Sum 41 & Simple Plan: The Blame Canada Tour,37.5
Marcus King - Live in 2022,54.5
Aaron Watson,25.0
Lea Salonga in Concert,80.0
The Jimmy Heath Scholarship Fund Concert,25.0
BrownstoneJAZZ FEST CONCERT SERIES,35.0
"Wade Ford Concert Series: Will Downing, Maysa, Mike Phillips",87.0
Schism - Tool Tribute,20.0
Forever - The Music Of Queen: A Symphonic Rock Concert,40.0
BrownstoneJAZZ FEST CONCERT SERIES,35.0
"""Six Brothers On Sax"" Concert",17.5
Ben Rector: The Joy of Music Live,39.0
Kurt Vile & the Violators,51.0
311,57.0
WCPAP & Cruisin' Oldies present Pink Floyd Concert Experience,49.0
Two Feet,25.0
Snow Tha Product,25.0
Lea Salonga in Concert,80.0
Zzak G. Applaud Our Kids Foundation Let Them Dream Big Concert,30.0
The Temptations & the Four Tops,69.0
Joeboy VIP and Greet Upgrade - NOT A CONCERT TICKET,40.0
311,47.0
DURAND JONES & THE INDICATIONS – CRUISIN' TO THE PARK TOUR,50.5
Brit Floyd - World Tour 2022,39.0
TCHS Arts Showcase Instrumental Concert,20.0
Legends In Concert (Las Vegas),92.5
SHAMANS HARVEST,20.0
RA - The Intercorrupted Tour,15.0
ASoulfulHeart.org Presents 1st Annual George Floyd Memorial Concert,127.0
An Evening With Whitney: The Whitney Houston Hologram Concert (Las Vegas),72.0
Animal Collective,29.0
FIAF Presents: Cinema in Song - a Concert with Jeanne Cherhal,40.0
An Evening With Whitney: The Whitney Houston Hologram Concert (Las Vegas),72.0
Max & Iggor Cavalera Return: Beneath Arise,25.0
TCHS Arts Showcase Vocal & Drama Concert,20.0
Legends In Concert (Las Vegas),92.5
Ship It Off! A Taylor Swift Party Cruise!,35.0
Billy Bob Thornton & The Boxmasters,42.5
Rock The Doc Tour,20.0
An Evening With Whitney: The Whitney Houston Hologram Concert (Las Vegas),72.0
MAX & IGGOR CAVALERA RETURN: BENEATH ARISE,29.0
Legends In Concert (Las Vegas),92.5
"3 Day Ticket: Wailers, Toad the Wet Sprocket, and Gin Blossoms!",162.5
Dying Fetus,38.5
Max Weinberg's Jukebox,55.0
An Evening With Whitney: The Whitney Houston Hologram Concert (Las Vegas),72.0
Souls on Board,10.0
Joan Jett & the Blackhearts,46.5
Kraftwerk 3-D,79.0
Geoff Tate - 30th Anniversary of Empire,38.0
Legends In Concert (Las Vegas),92.5
Reggaeton Night,15.0
BrownstoneJAZZ FEST CONCERT SERIES,35.0
Firestone Legends Day Concert Featuring Dierks Bentley,72.0
Wade Ford Concert Series: Lalah Hathaway & Robert Glasper,87.0
Get With Me Entertainment Presents an Old School R&B Concert,70.0
Robert Earl Keen,81.0
Alabama: Live In Concert,80.0
An Evening With Whitney: The Whitney Houston Hologram Concert (Las Vegas),72.0
BrownstoneJAZZ FEST CONCERT SERIES,35.0
Wavelength Club Series ft. Spencer Brown,24.0
Legends In Concert (Las Vegas),92.5
Snow Tha Product,25.0
Stone Soul Concert,100.5
"Wade Ford Concert Series: Cameo, ConFunkShun, Lakeside",79.5
Robert Earl Keen,81.0
Westchester Reggae Festival Presents 'Legends In Concert',149.0
An Evening With Whitney: The Whitney Houston Hologram Concert (Las Vegas),72.0
Snow Tha Product,45.0
Legends In Concert (Las Vegas),92.5
"Max Morin, Timothy Robert Graham, Sea Lemon",12.0
Legends In Concert (Las Vegas),92.5
Mean Price,55.07
